check_number,session_start
6670,15:30:00.000
8945,21:00:00.000
5812,14:00:00.000
4085,07:30:00.000
4027,15:00:00.000
8984,15:00:00.000
5424,06:00:00.000
3905,07:00:00.000
1110,22:15:00.000
2942,21:00:00.000
3786,07:30:00.000
3165,14:00:00.000
6151,06:00:00.000
9585,06:00:00.000
2834,22:30:00.000
7684,21:00:00.000
5328,22:15:00.000
6465,08:42:00.000
9850,23:42:00.000
4513,06:00:00.000
9091,06:15:00.000
566,07:30:00.000
4993,06:00:00.000
7420,06:15:00.000
6220,15:34:00.000
3182,14:00:00.000
1552,14:00:00.000
9094,22:15:00.000
2811,22:30:00.000
1762,21:00:00.000
3717,06:15:00.000
7596,22:15:00.000
1670,22:30:00.000
1618,22:15:00.000
1707,15:34:00.000
2000,07:00:00.000
6738,06:00:00.000
2299,06:00:00.000
9473,15:00:00.000
1745,14:00:00.000
4914,15:00:00.000
6335,21:00:00.000
7429,21:00:00.000
8269,22:15:00.000
7527,15:30:00.000
8811,07:30:00.000
978,21:00:00.000
483,22:15:00.000
4350,14:00:00.000
5053,06:00:00.000
7065,15:00:00.000
1554,21:00:00.000
9492,14:00:00.000
4197,08:42:00.000
4329,22:30:00.000
147,08:42:00.000
5906,08:42:00.000
8621,14:00:00.000
5233,15:30:00.000
6142,06:00:00.000
8950,14:00:00.000
321,15:34:00.000
5204,15:00:00.000
6331,06:15:00.000
8871,23:42:00.000
4508,15:34:00.000
3468,21:00:00.000
3897,07:00:00.000
4662,07:00:00.000
1235,22:30:00.000
6953,21:00:00.000
5992,21:00:00.000
6258,22:30:00.000
3306,08:42:00.000
3370,22:30:00.000
7231,23:42:00.000
6713,21:00:00.000
952,15:34:00.000
141,15:00:00.000
9410,15:34:00.000
2288,15:34:00.000
1843,07:00:00.000
7635,08:42:00.000
7656,15:00:00.000
2748,08:42:00.000
4875,15:30:00.000
6880,06:15:00.000
8295,15:00:00.000
1844,15:34:00.000
2788,06:00:00.000
7433,14:00:00.000
4899,22:15:00.000
6354,22:15:00.000
2372,14:15:00.000
4099,15:30:00.000
4043,06:00:00.000
5410,15:34:00.000
4887,06:00:00.000
762,07:00:00.000
2693,21:00:00.000
833,14:00:00.000
965,15:30:00.000
697,22:30:00.000
3189,15:30:00.000
8951,07:00:00.000
2004,15:34:00.000
993,21:00:00.000
7198,22:15:00.000
9227,08:42:00.000
9174,22:15:00.000
3550,14:00:00.000
6066,07:00:00.000
6270,21:00:00.000
5095,15:30:00.000
9318,06:15:00.000
8490,15:34:00.000
4621,14:00:00.000
4475,07:30:00.000
2366,06:00:00.000
9536,14:15:00.000
9966,07:00:00.000
3623,22:30:00.000
9531,22:15:00.000
7168,15:30:00.000
1121,23:42:00.000
8296,22:15:00.000
9672,21:00:00.000
4288,07:00:00.000
4860,06:00:00.000
6371,22:15:00.000
9638,06:15:00.000
9183,14:15:00.000
9937,14:00:00.000
1517,15:34:00.000
8835,21:00:00.000
6707,23:42:00.000
457,06:15:00.000
8483,21:00:00.000
7922,14:00:00.000
3871,21:00:00.000
8066,22:15:00.000
1879,21:00:00.000
3191,08:42:00.000
9420,22:30:00.000
3127,14:15:00.000
1009,22:15:00.000
6121,21:00:00.000
7223,06:15:00.000
2870,22:15:00.000
1847,23:42:00.000
6585,07:30:00.000
5956,22:15:00.000
6529,15:00:00.000
8659,14:15:00.000
6428,14:15:00.000
8812,23:42:00.000
6961,06:15:00.000
9442,14:00:00.000
702,06:15:00.000
7573,22:15:00.000
4553,07:00:00.000
1603,21:00:00.000
4349,06:00:00.000
672,14:15:00.000
9608,06:00:00.000
396,22:30:00.000
315,06:00:00.000
5664,14:00:00.000
1544,15:34:00.000
8501,23:42:00.000
2849,07:00:00.000
7851,15:34:00.000
1776,06:15:00.000
8771,07:30:00.000
7633,22:15:00.000
8600,23:42:00.000
9143,23:42:00.000
7770,23:42:00.000
7157,15:34:00.000
2095,22:15:00.000
9242,15:34:00.000
2853,21:00:00.000
1904,14:15:00.000
4698,15:34:00.000
1960,22:15:00.000
3261,21:00:00.000
7377,07:30:00.000
2576,21:00:00.000
7826,08:42:00.000
4725,21:00:00.000
9587,21:00:00.000
9734,07:00:00.000
4067,15:00:00.000
2380,22:15:00.000
5805,23:42:00.000
2194,21:00:00.000
2808,14:15:00.000
5382,15:34:00.000
4959,22:30:00.000
9798,21:00:00.000
1833,08:42:00.000
1186,22:30:00.000
8309,08:42:00.000
1116,08:42:00.000
3792,06:15:00.000
1738,15:34:00.000
7634,22:15:00.000
4128,15:34:00.000
504,08:42:00.000
2943,07:00:00.000
6441,08:42:00.000
7462,21:00:00.000
3485,23:42:00.000
4415,06:15:00.000
8973,21:00:00.000
6176,07:30:00.000
9387,14:15:00.000
6071,22:30:00.000
6975,06:15:00.000
2874,22:30:00.000
191,15:34:00.000
9539,21:00:00.000
3629,21:00:00.000
1264,22:15:00.000
2790,08:42:00.000
1373,07:30:00.000
623,14:15:00.000
3084,07:00:00.000
2636,07:00:00.000
5511,06:00:00.000
5205,14:15:00.000
316,07:30:00.000
9097,07:00:00.000
713,21:00:00.000
1866,14:15:00.000
302,22:15:00.000
521,15:30:00.000
9449,15:34:00.000
1646,15:00:00.000
1969,06:15:00.000
8742,15:34:00.000
9693,14:15:00.000
7130,15:30:00.000
7186,06:00:00.000
2149,23:42:00.000
2951,21:00:00.000
6820,23:42:00.000
208,21:00:00.000
5894,07:00:00.000
2157,15:30:00.000
8931,22:15:00.000
148,21:00:00.000
7290,22:15:00.000
7755,15:34:00.000
264,23:42:00.000
6216,15:34:00.000
6899,22:15:00.000
989,21:00:00.000
7917,22:30:00.000
166,15:34:00.000
1691,21:00:00.000
8541,22:30:00.000
2995,06:15:00.000
7021,15:00:00.000
2855,08:42:00.000
5760,22:30:00.000
103,21:00:00.000
2461,07:30:00.000
5279,21:00:00.000
5213,23:42:00.000
1095,08:42:00.000
6285,14:15:00.000
3847,14:15:00.000
6206,14:00:00.000
4428,15:30:00.000
5775,22:15:00.000
1205,22:30:00.000
2264,22:15:00.000
9080,21:00:00.000
1913,14:00:00.000
9563,15:00:00.000
6568,21:00:00.000
9037,14:15:00.000
661,15:00:00.000
6144,22:15:00.000
3529,06:00:00.000
2881,22:15:00.000
6339,21:00:00.000
8061,06:15:00.000
5038,14:00:00.000
7333,07:00:00.000
3276,06:15:00.000
7607,15:34:00.000
5677,15:30:00.000
5020,07:30:00.000
7241,07:30:00.000
9834,21:00:00.000
1286,15:34:00.000
3966,06:15:00.000
6524,22:30:00.000
1610,07:00:00.000
7404,14:00:00.000
6127,07:30:00.000
4763,15:34:00.000
5814,07:30:00.000
2075,23:42:00.000
1443,15:00:00.000
3650,22:30:00.000
2012,22:15:00.000
248,08:42:00.000
731,15:00:00.000
63,06:15:00.000
729,22:30:00.000
4741,07:00:00.000
6612,23:42:00.000
6364,15:00:00.000
534,14:00:00.000
8045,07:00:00.000
9851,21:00:00.000
3707,15:00:00.000
889,15:30:00.000
8150,15:00:00.000
7731,07:00:00.000
3206,15:00:00.000
3906,22:15:00.000
1227,21:00:00.000
1508,22:30:00.000
3581,14:15:00.000
7591,22:15:00.000
388,22:15:00.000
9783,14:15:00.000
1482,15:00:00.000
362,07:30:00.000
6939,06:00:00.000
4258,06:00:00.000
5619,21:00:00.000
5572,06:15:00.000
2391,22:30:00.000
6211,14:00:00.000
1211,15:00:00.000
5726,14:15:00.000
2369,15:00:00.000
5818,15:30:00.000
9578,23:42:00.000
4262,23:42:00.000
9939,21:00:00.000
8624,07:30:00.000
3077,14:15:00.000
5016,22:15:00.000
4726,23:42:00.000
1709,22:15:00.000
1760,06:15:00.000
928,08:42:00.000
8275,08:42:00.000
1647,08:42:00.000
5254,08:42:00.000
358,07:30:00.000
4538,21:00:00.000
529,15:30:00.000
1976,14:15:00.000
2359,15:00:00.000
751,15:34:00.000
5870,21:00:00.000
931,15:30:00.000
1153,23:42:00.000
827,07:00:00.000
8657,22:30:00.000
3565,15:00:00.000
9921,21:00:00.000
5990,06:00:00.000
2866,22:30:00.000
4158,21:00:00.000
8913,07:30:00.000
7476,23:42:00.000
9250,22:15:00.000
3727,23:42:00.000
3156,21:00:00.000
9195,15:00:00.000
4355,15:00:00.000
736,08:42:00.000
3803,07:30:00.000
2206,22:30:00.000
6173,06:15:00.000
2102,21:00:00.000
3987,08:42:00.000
2365,22:30:00.000
4495,14:00:00.000
3384,06:15:00.000
6750,07:00:00.000
4331,21:00:00.000
3858,06:15:00.000
825,07:00:00.000
6470,07:00:00.000
545,06:00:00.000
2032,21:00:00.000
3455,22:30:00.000
8814,23:42:00.000
3494,15:30:00.000
2933,22:30:00.000
8129,06:00:00.000
2044,23:42:00.000
1679,22:30:00.000
6497,21:00:00.000
3433,23:42:00.000
5605,15:34:00.000
5375,07:00:00.000
6155,14:00:00.000
3626,21:00:00.000
8247,22:15:00.000
1902,06:15:00.000
7624,23:42:00.000
4667,06:00:00.000
5577,15:00:00.000
1258,23:42:00.000
7819,22:30:00.000
4692,23:42:00.000
8618,15:34:00.000
7557,15:30:00.000
3462,06:00:00.000
70,23:42:00.000
2948,06:15:00.000
4836,07:00:00.000
9261,08:42:00.000
3646,22:15:00.000
3515,07:00:00.000
9847,21:00:00.000
4653,21:00:00.000
1181,14:15:00.000
3655,06:00:00.000
9039,22:15:00.000
8660,15:34:00.000
145,06:00:00.000
9600,23:42:00.000
8994,07:00:00.000
1875,15:34:00.000
7732,07:30:00.000
2124,06:00:00.000
4373,15:00:00.000
7255,22:15:00.000
5589,08:42:00.000
8035,15:00:00.000
2240,21:00:00.000
8759,22:30:00.000
8347,22:15:00.000
9454,06:15:00.000
8532,22:15:00.000
3059,06:00:00.000
2509,22:30:00.000
8205,21:00:00.000
1789,14:00:00.000
9129,08:42:00.000
2347,08:42:00.000
4176,14:15:00.000
9369,08:42:00.000
6660,22:15:00.000
2445,07:30:00.000
1968,14:00:00.000
7336,22:15:00.000
7848,22:30:00.000
6943,22:15:00.000
2209,15:34:00.000
7459,08:42:00.000
8789,22:15:00.000
3464,21:00:00.000
6905,22:30:00.000
727,21:00:00.000
1944,21:00:00.000
6393,15:30:00.000
67,15:30:00.000
3835,07:00:00.000
7933,08:42:00.000
2545,14:15:00.000
5036,06:00:00.000
1456,15:34:00.000
8256,07:30:00.000
761,07:00:00.000
8008,06:00:00.000
9503,21:00:00.000
2351,23:42:00.000
9211,22:30:00.000
922,08:42:00.000
4780,07:00:00.000
9553,14:00:00.000
8528,15:30:00.000
5471,06:00:00.000
439,14:15:00.000
6795,23:42:00.000
455,15:00:00.000
3912,07:00:00.000
1613,06:00:00.000
6148,22:30:00.000
4266,14:00:00.000
3923,07:30:00.000
4968,21:00:00.000
1343,15:34:00.000
52,15:00:00.000
5884,15:00:00.000
6450,22:15:00.000
5526,15:00:00.000
2740,07:00:00.000
9329,22:30:00.000
4529,07:30:00.000
8110,15:30:00.000
6161,15:00:00.000
6861,06:15:00.000
5695,21:00:00.000
2633,15:34:00.000
1001,06:00:00.000
7655,07:30:00.000
7334,15:30:00.000
6732,08:42:00.000
3007,21:00:00.000
7423,14:00:00.000
40,15:00:00.000
9613,21:00:00.000
6647,23:42:00.000
3554,21:00:00.000
8828,15:00:00.000
8817,14:15:00.000
5170,14:00:00.000
5771,15:30:00.000
3396,06:15:00.000
2185,22:30:00.000
6530,21:00:00.000
9786,08:42:00.000
7468,15:30:00.000
4588,21:00:00.000
6333,07:30:00.000
6632,22:15:00.000
9140,23:42:00.000
5523,08:42:00.000
3795,21:00:00.000
6433,06:15:00.000
4386,22:15:00.000
8693,21:00:00.000
1173,06:15:00.000
9316,22:15:00.000
5319,06:15:00.000
8928,07:30:00.000
5100,14:00:00.000
6954,22:30:00.000
6739,06:00:00.000
1349,22:15:00.000
9841,07:30:00.000
7754,14:15:00.000
7233,07:30:00.000
898,15:00:00.000
9393,07:00:00.000
7315,08:42:00.000
2229,06:00:00.000
5099,22:15:00.000
9101,06:00:00.000
4398,08:42:00.000
3126,21:00:00.000
9244,07:00:00.000
940,21:00:00.000
4292,21:00:00.000
872,06:15:00.000
9236,08:42:00.000
8752,15:34:00.000
3217,14:00:00.000
7757,15:00:00.000
283,07:30:00.000
9711,06:00:00.000
7873,15:00:00.000
5250,21:00:00.000
305,14:15:00.000
5879,22:30:00.000
8995,21:00:00.000
2318,07:00:00.000
3444,08:42:00.000
3819,15:00:00.000
6300,08:42:00.000
33,21:00:00.000
8714,06:00:00.000
4368,14:15:00.000
3627,15:00:00.000
4365,22:15:00.000
6952,07:30:00.000
2342,22:30:00.000
7620,15:00:00.000
2775,07:00:00.000
5878,15:34:00.000
1717,15:34:00.000
7314,15:34:00.000
7875,07:00:00.000
5847,14:15:00.000
8117,22:15:00.000
9916,14:15:00.000
1553,06:15:00.000
8633,08:42:00.000
9994,22:30:00.000
2450,21:00:00.000
1675,22:15:00.000
8609,15:34:00.000
8583,14:00:00.000
8288,06:15:00.000
5527,22:15:00.000
4215,21:00:00.000
1608,06:15:00.000
8145,15:30:00.000
6125,23:42:00.000
2637,21:00:00.000
8758,21:00:00.000
8209,15:34:00.000
4762,14:15:00.000
1604,06:15:00.000
1808,08:42:00.000
6374,22:30:00.000
5315,21:00:00.000
1588,21:00:00.000
5642,08:42:00.000
8068,22:30:00.000
1199,07:00:00.000
766,15:34:00.000
8413,14:00:00.000
6509,07:30:00.000
4160,22:30:00.000
2413,07:30:00.000
4489,15:00:00.000
6911,14:00:00.000
1989,14:00:00.000
7701,23:42:00.000
3825,21:00:00.000
5346,23:42:00.000
8469,23:42:00.000
4526,14:00:00.000
6402,15:00:00.000
3676,15:34:00.000
9703,06:15:00.000
2103,21:00:00.000
9815,15:30:00.000
6030,15:30:00.000
8901,15:00:00.000
2393,06:00:00.000
2345,07:00:00.000
730,22:15:00.000
4241,14:15:00.000
5012,21:00:00.000
7704,06:15:00.000
7547,22:30:00.000
2283,23:42:00.000
386,14:00:00.000
2716,22:30:00.000
8119,21:00:00.000
5910,14:00:00.000
175,15:30:00.000
5718,06:00:00.000
5362,21:00:00.000
5547,14:15:00.000
357,07:00:00.000
8179,14:15:00.000
5028,07:30:00.000
2586,21:00:00.000
9702,15:30:00.000
93,07:30:00.000
306,14:15:00.000
68,15:34:00.000
349,23:42:00.000
7061,15:34:00.000
4178,06:15:00.000
3931,14:00:00.000
8003,14:15:00.000
5446,14:00:00.000
4125,06:15:00.000
3251,23:42:00.000
3814,15:30:00.000
2872,07:30:00.000
5717,07:00:00.000
427,22:30:00.000
8637,06:00:00.000
3491,07:00:00.000
6396,22:15:00.000
9257,15:30:00.000
1713,14:00:00.000
4294,06:15:00.000
9487,21:00:00.000
6781,21:00:00.000
9907,15:30:00.000
9823,07:00:00.000
2467,06:15:00.000
507,22:15:00.000
3690,23:42:00.000
8484,21:00:00.000
8829,15:34:00.000
4476,23:42:00.000
4041,15:34:00.000
3487,14:15:00.000
5025,23:42:00.000
94,07:30:00.000
4678,15:34:00.000
4563,22:30:00.000
1361,15:00:00.000
6570,15:30:00.000
9297,08:42:00.000
3811,06:15:00.000
9635,23:42:00.000
3195,15:30:00.000
7068,21:00:00.000
9573,06:00:00.000
4227,15:30:00.000
6783,21:00:00.000
6877,23:42:00.000
5122,08:42:00.000
2507,07:30:00.000
113,06:00:00.000
8903,21:00:00.000
1839,15:30:00.000
7745,21:00:00.000
3327,15:34:00.000
6915,22:15:00.000
8865,08:42:00.000
3753,22:15:00.000
6446,21:00:00.000
3082,15:00:00.000
9993,15:00:00.000
2279,06:15:00.000
2934,15:34:00.000
7358,15:34:00.000
1437,21:00:00.000
8450,21:00:00.000
3570,15:00:00.000
633,07:00:00.000
3364,06:00:00.000
4797,23:42:00.000
227,22:15:00.000
5263,15:34:00.000
5435,15:00:00.000
319,06:00:00.000
406,08:42:00.000
448,08:42:00.000
5854,14:15:00.000
4723,07:00:00.000
6962,14:00:00.000
9640,21:00:00.000
2235,07:30:00.000
5765,21:00:00.000
7992,22:30:00.000
1158,15:30:00.000
8642,06:15:00.000
1230,14:00:00.000
5168,08:42:00.000
5372,14:15:00.000
2862,07:30:00.000
9630,07:00:00.000
1280,22:30:00.000
739,07:30:00.000
8442,06:00:00.000
9838,23:42:00.000
7316,21:00:00.000
1541,15:00:00.000
4813,14:15:00.000
5473,14:00:00.000
6931,07:30:00.000
4801,15:00:00.000
9157,14:00:00.000
8735,06:00:00.000
8741,14:00:00.000
6516,06:15:00.000
7942,15:30:00.000
909,06:15:00.000
1273,15:34:00.000
7072,15:00:00.000
6811,06:00:00.000
298,15:30:00.000
6792,15:30:00.000
1048,21:00:00.000
35,21:00:00.000
4204,21:00:00.000
8917,21:00:00.000
4926,14:00:00.000
3179,08:42:00.000
2931,15:30:00.000
3123,06:15:00.000
7472,15:30:00.000
8596,15:30:00.000
1837,15:00:00.000
7641,15:34:00.000
7005,06:00:00.000
9260,21:00:00.000
3831,06:15:00.000
4487,06:15:00.000
8318,08:42:00.000
3535,23:42:00.000
4951,06:00:00.000
7300,21:00:00.000
7708,15:34:00.000
6236,15:00:00.000
8375,07:30:00.000
323,14:15:00.000
5823,15:00:00.000
5563,14:15:00.000
7085,07:30:00.000
251,14:00:00.000
1502,07:00:00.000
4278,06:15:00.000
4208,14:00:00.000
453,14:00:00.000
3838,23:42:00.000
9335,23:42:00.000
5222,22:15:00.000
5062,21:00:00.000
6843,15:34:00.000
9290,06:00:00.000
9876,08:42:00.000
7834,08:42:00.000
1446,07:30:00.000
2997,15:00:00.000
2780,15:34:00.000
7367,07:30:00.000
8093,21:00:00.000
8331,21:00:00.000
6309,22:15:00.000
4751,15:34:00.000
6777,15:30:00.000
6319,21:00:00.000
1768,22:15:00.000
3131,14:15:00.000
9119,22:30:00.000
6970,21:00:00.000
5770,15:00:00.000
1435,21:00:00.000
6275,14:00:00.000
9333,15:00:00.000
8287,23:42:00.000
6076,14:15:00.000
3861,15:30:00.000
3555,07:00:00.000
6010,15:00:00.000
1665,14:00:00.000
1520,06:00:00.000
4719,14:00:00.000
6463,07:30:00.000
9839,21:00:00.000
2658,06:00:00.000
1271,15:00:00.000
6617,15:34:00.000
7391,15:30:00.000
6070,14:15:00.000
684,23:42:00.000
4233,08:42:00.000
3857,15:00:00.000
1240,06:00:00.000
5837,07:00:00.000
1979,08:42:00.000
5403,21:00:00.000
8949,07:30:00.000
4123,06:00:00.000
6745,08:42:00.000
5076,21:00:00.000
8756,14:00:00.000
6824,08:42:00.000
5000,22:15:00.000
1353,15:00:00.000
6215,14:15:00.000
8560,15:34:00.000
7515,22:15:00.000
2488,15:34:00.000
8630,21:00:00.000
1421,15:34:00.000
2843,22:30:00.000
961,21:00:00.000
860,06:15:00.000
5599,21:00:00.000
8883,22:30:00.000
8579,07:00:00.000
105,22:30:00.000
5522,21:00:00.000
2757,07:30:00.000
8286,06:15:00.000
2821,22:15:00.000
7039,15:00:00.000
9797,22:15:00.000
7967,21:00:00.000
5149,15:00:00.000
8506,21:00:00.000
8193,06:15:00.000
6807,15:34:00.000
2060,15:34:00.000
3955,06:00:00.000
3886,06:15:00.000
2087,14:15:00.000
3642,07:00:00.000
1903,22:15:00.000
39,15:30:00.000
5676,21:00:00.000
7906,07:30:00.000
2404,15:30:00.000
2382,06:15:00.000
9976,15:00:00.000
6884,07:00:00.000
7924,22:15:00.000
2475,06:15:00.000
3584,08:42:00.000
7253,07:00:00.000
2655,15:34:00.000
7694,15:30:00.000
3901,15:30:00.000
66,14:00:00.000
735,06:15:00.000
6234,14:00:00.000
4053,14:15:00.000
658,22:15:00.000
1657,15:00:00.000
2946,21:00:00.000
2991,21:00:00.000
5553,06:00:00.000
967,22:15:00.000
7376,15:00:00.000
2525,22:30:00.000
4187,22:15:00.000
5531,15:30:00.000
4447,14:00:00.000
3666,07:00:00.000
1015,14:15:00.000
601,15:34:00.000
4850,22:30:00.000
628,08:42:00.000
5260,06:15:00.000
2371,21:00:00.000
8418,06:15:00.000
497,06:15:00.000
3597,14:00:00.000
5570,22:30:00.000
4120,14:15:00.000
4616,14:15:00.000
1296,08:42:00.000
3506,08:42:00.000
7139,23:42:00.000
8772,15:34:00.000
8593,22:30:00.000
451,07:30:00.000
3585,08:42:00.000
4766,06:00:00.000
8187,15:34:00.000
3793,07:00:00.000
3598,07:00:00.000
7637,14:00:00.000
3063,14:15:00.000
2133,22:15:00.000
2726,07:30:00.000
3318,07:00:00.000
4982,14:15:00.000
8549,21:00:00.000
2186,21:00:00.000
2926,14:15:00.000
3582,21:00:00.000
6289,23:42:00.000
4483,15:00:00.000
2026,06:15:00.000
3540,22:30:00.000
6702,06:00:00.000
7340,08:42:00.000
5296,06:00:00.000
9680,14:15:00.000
9478,22:15:00.000
2063,15:34:00.000
6408,15:34:00.000
7491,06:15:00.000
7164,15:34:00.000
6247,07:00:00.000
4096,23:42:00.000
5440,06:15:00.000
1038,22:15:00.000
8503,06:00:00.000
3563,06:15:00.000
6327,07:00:00.000
9170,22:15:00.000
109,15:30:00.000
5389,06:15:00.000
3151,06:15:00.000
3986,22:15:00.000
9175,22:15:00.000
4210,21:00:00.000
6689,08:42:00.000
7920,21:00:00.000
7159,15:30:00.000
299,15:34:00.000
7965,21:00:00.000
134,07:30:00.000
6841,08:42:00.000
219,15:30:00.000
5145,22:30:00.000
6272,15:00:00.000
660,14:00:00.000
9666,23:42:00.000
1612,22:15:00.000
7499,23:42:00.000
5178,21:00:00.000
9356,21:00:00.000
2189,15:30:00.000
1084,22:15:00.000
4139,14:00:00.000
3536,21:00:00.000
5792,22:30:00.000
7402,15:30:00.000
987,06:00:00.000
5861,21:00:00.000
7887,06:00:00.000
4802,22:30:00.000
5802,15:34:00.000
8246,14:15:00.000
6232,21:00:00.000
7206,22:15:00.000
3781,07:30:00.000
1849,07:30:00.000
2330,23:42:00.000
83,15:30:00.000
3451,21:00:00.000
8052,07:30:00.000
1750,07:30:00.000
9120,07:00:00.000
9380,07:30:00.000
6828,06:15:00.000
6654,21:00:00.000
719,22:30:00.000
9292,08:42:00.000
2978,07:30:00.000
5115,06:15:00.000
1268,14:00:00.000
2935,15:34:00.000
6648,15:00:00.000
8773,21:00:00.000
6006,07:00:00.000
5491,07:00:00.000
4635,07:00:00.000
4379,15:30:00.000
1759,15:00:00.000
2116,21:00:00.000
7224,08:42:00.000
487,21:00:00.000
4784,15:30:00.000
2778,22:30:00.000
3975,14:00:00.000
4515,21:00:00.000
5960,21:00:00.000
4362,21:00:00.000
2363,06:15:00.000
5782,15:30:00.000
3386,15:30:00.000
6028,22:30:00.000
9247,08:42:00.000
4950,15:00:00.000
327,22:15:00.000
158,22:30:00.000
5995,14:00:00.000
7120,14:15:00.000
8199,22:15:00.000
3852,08:42:00.000
603,14:15:00.000
4188,14:15:00.000
861,15:30:00.000
7185,08:42:00.000
9892,15:34:00.000
7063,07:30:00.000
8453,14:15:00.000
9348,22:15:00.000
6734,22:15:00.000
9049,21:00:00.000
4706,08:42:00.000
5602,21:00:00.000
2104,21:00:00.000
9025,14:00:00.000
9447,22:30:00.000
8025,21:00:00.000
6237,06:15:00.000
1809,15:34:00.000
2061,14:15:00.000
5048,14:00:00.000
3619,07:00:00.000
3504,15:30:00.000
7672,06:15:00.000
2737,14:15:00.000
4369,08:42:00.000
884,07:00:00.000
7330,08:42:00.000
5596,15:34:00.000
7915,07:00:00.000
4717,22:15:00.000
5974,08:42:00.000
1405,15:30:00.000
2089,15:00:00.000
414,22:15:00.000
533,06:15:00.000
6046,23:42:00.000
1148,06:15:00.000
257,06:00:00.000
461,15:00:00.000
523,15:00:00.000
1069,06:15:00.000
5654,08:42:00.000
8294,07:30:00.000
2105,14:00:00.000
9320,08:42:00.000
3926,07:00:00.000
2958,06:15:00.000
6475,15:34:00.000
1030,14:15:00.000
8004,07:30:00.000
3830,15:30:00.000
6039,23:42:00.000
1638,06:00:00.000
9965,14:00:00.000
9096,07:00:00.000
100,22:30:00.000
6290,07:00:00.000
1195,15:34:00.000
914,15:00:00.000
9511,15:34:00.000
6401,14:15:00.000
1885,14:15:00.000
6109,08:42:00.000
2732,21:00:00.000
9131,06:00:00.000
8516,22:15:00.000
1330,14:00:00.000
9822,07:00:00.000
8914,07:30:00.000
3228,06:00:00.000
387,08:42:00.000
6869,15:30:00.000
